"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\package-lock.json", "JSON", 28816, 0, 0, 0, 0, 0, 1, 28817
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\package.json", "JSON", 39, 0, 0, 0, 0, 0, 1, 40
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\src\App.css", "CSS", 0, 0, 0, 91, 0, 0, 18, 109
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\src\App.js", "JavaScript", 0, 0, 29, 0, 0, 0, 7, 36
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\src\components\account\AccountInfo.js", "JavaScript", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\src\components\account\AccountInfo.module.css", "CSS", 0, 0, 0, 45, 0, 0, 7, 52
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\src\components\account\AccountInfoRow.js", "JavaScript", 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Kacpe\OneDrive\Dokumenty\GitHub\eft-helper\eft-helper-frontend\src\components\account\AccountInfoRow.module.css", "CSS", 0, 0, 0, 17, 0, 0, 4, 21
